Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
28-07, 23,    58.40,   109.11,     0.40,    23.83,    27.90,     9.55,     1.46,
28-07, 22,    68.17,   150.41,     0.45,    23.79,    42.40,    12.25,     2.12,
28-07, 21,    70.14,   159.34,     0.52,    23.36,    61.05,    16.40,     2.46,
28-07, 20,    64.45,   136.86,     0.56,    28.63,    30.60,    10.10,     1.93,
28-07, 19,    63.97,   138.13,     0.43,    31.34,    28.00,    10.40,     2.04,
28-07, 18,    58.50,   129.12,     0.35,    35.90,    26.20,    12.35,     2.13,
28-07, 17,    47.35,   100.64,     0.32,    42.13,    45.85,    11.45,     1.69,
28-07, 16,    30.70,    65.35,     0.29,    55.66,    33.00,     7.30,     1.07,
28-07, 15,    44.73,    99.49,     0.36,    46.23,    34.90,     7.90,     1.59,
28-07, 14,    40.43,    86.27,     0.26,    50.94,    34.30,     7.55,     1.51,
28-07, 13,    42.29,   103.93,     0.31,    47.66,    31.90,     7.65,     1.66,
28-07, 12,    40.15,   109.40,     0.26,    44.57,    33.15,     7.15,     1.93,
28-07, 11,    52.19,   125.48,     0.29,    41.86,    25.40,     6.70,     2.03,
28-07, 10,    42.46,    89.94,     0.27,    50.00,    24.60,     5.95,     1.42,
28-07,  9,    46.71,   114.30,     0.27,    40.35,    29.50,     7.20,     1.72,
28-07,  8,    42.18,    96.41,     0.25,    34.60,    24.05,     5.35,     1.45,
28-07,  7,    46.34,   119.00,     0.31,    22.28,    29.65,     8.50,     1.86,
28-07,  6,    47.32,   124.84,     0.33,    20.06,    21.15,     8.85,     1.99,
28-07,  5,    43.47,   109.74,     0.27,    24.89,    33.45,    11.70,     1.66,
28-07,  4,    53.37,    92.61,     0.25,    15.18,    64.60,    14.35,     1.28,
28-07,  3,    26.57,    42.03,     0.19,    38.16,    19.05,    10.90,     0.50,
28-07,  2,    27.18,    34.28,     0.17,    39.65,    18.95,    10.70,     0.24,
28-07,  1,    25.41,    32.00,     0.16,    46.84,    20.80,     9.65,     0.26,
28-07,  0,    19.21,    23.84,     0.17,    61.81,    13.45,     7.90,     0.24,
27-07, 23,    19.42,    29.34,     0.22,    65.10,    16.80,     9.00,     0.38,
27-07, 22,    18.99,    27.89,     0.21,    65.33,    14.95,     7.40,     0.37,
27-07, 21,    26.12,    41.37,     0.23,    59.76,    18.60,     9.20,     0.50,
27-07, 20,    22.56,    32.82,     0.21,    66.91,    13.50,     7.05,     0.45,
27-07, 19,    27.65,    47.38,     0.22,    64.47,    21.60,     8.75,     0.61,
27-07, 18,    36.17,    60.86,     0.27,    58.39,    15.15,     7.65,     0.89,
27-07, 17,    40.94,    71.00,     0.32,    54.20,    28.10,    10.00,     1.01,
